customerid,orders,total_spent,last_purchase
14646.0,73,280206.02,2011-12-08 12:12:00
18102.0,60,259657.3,2011-12-09 11:50:00
17450.0,46,194390.79,2011-12-01 13:29:00
16446.0,2,168472.5,2011-12-09 09:15:00
14911.0,201,143711.17,2011-12-08 15:54:00
12415.0,21,124914.53,2011-11-15 14:22:00
14156.0,55,117210.08,2011-11-30 10:54:00
17511.0,31,91062.38,2011-12-07 10:12:00
16029.0,63,80850.84,2011-11-01 10:27:00
12346.0,1,77183.6,2011-01-18 10:01:00
16684.0,28,66653.56,2011-12-05 14:06:00
14096.0,17,65164.79,2011-12-05 17:17:00
13694.0,50,65039.62,2011-12-06 09:32:00
15311.0,91,60632.75,2011-12-09 12:00:00
13089.0,97,58762.08,2011-12-07 09:02:00
17949.0,45,58510.48,2011-12-08 18:46:00
15769.0,26,56252.72,2011-12-02 13:52:00
15061.0,48,54534.14,2011-12-06 12:06:00
14298.0,44,51527.3,2011-12-01 13:12:00
14088.0,13,50491.81,2011-11-29 16:16:00
15749.0,3,44534.3,2011-04-18 13:20:00
12931.0,15,42055.96,2011-11-18 12:39:00
17841.0,124,40519.84,2011-12-08 12:07:00
15098.0,3,39916.5,2011-06-10 15:33:00
13798.0,57,37153.85,2011-12-08 15:51:00
16013.0,47,37130.6,2011-12-06 10:36:00
16422.0,51,34684.4,2011-11-22 14:00:00
15838.0,19,33643.08,2011-11-28 14:00:00
12748.0,209,33053.19,2011-12-09 12:20:00
17404.0,15,31906.82,2011-12-05 16:26:00
17389.0,34,31833.68,2011-12-09 09:38:00
13098.0,28,28882.44,2011-12-08 14:14:00
14680.0,16,28754.11,2011-11-14 16:59:00
13081.0,11,28337.38,2011-11-28 10:54:00
13408.0,62,28117.04,2011-12-08 09:05:00
17857.0,23,26879.04,2011-12-05 13:13:00
16333.0,22,26626.8,2011-12-02 12:19:00
13777.0,33,25977.16,2011-12-09 12:25:00
12753.0,6,21429.39,2011-11-17 10:52:00
12744.0,7,21279.29,2011-10-19 11:18:00
16210.0,18,21086.3,2011-12-08 12:36:00
17675.0,31,20374.28,2011-12-08 18:03:00
17381.0,29,20275.61,2011-12-01 11:59:00
12471.0,30,19788.65,2011-12-07 15:43:00
15039.0,47,19766.59,2011-11-30 11:31:00
12731.0,12,18895.91,2011-11-16 11:59:00
15159.0,30,18641.010000000002,2011-12-08 12:05:00
12901.0,28,17654.54,2011-12-01 10:07:00
12678.0,12,17628.46,2011-10-28 13:04:00
14031.0,19,17286.86,2011-12-02 17:13:00
17428.0,28,17256.85,2011-12-09 09:45:00
13767.0,37,17220.36,2011-12-07 15:00:00
13881.0,20,17159.52,2011-12-06 12:50:00
16839.0,34,16594.35,2011-12-01 09:03:00
12921.0,37,16587.09,2011-11-30 16:22:00
17677.0,30,16345.38,2011-12-08 09:56:00
15189.0,41,16225.39,2011-12-08 13:22:00
14607.0,14,16209.5,2011-11-24 10:35:00
15856.0,27,16143.64,2011-12-05 17:09:00
14051.0,23,15610.390000000001,2011-12-09 10:20:00
15513.0,19,14758.220000000001,2011-11-06 14:36:00
16133.0,33,14589.04,2011-12-06 11:24:00
14866.0,12,14389.9,2011-11-29 11:45:00
16705.0,20,14034.99,2011-12-09 12:08:00
12681.0,22,13787.54,2011-11-25 11:33:00
12621.0,20,13689.67,2011-12-08 11:25:00
12540.0,17,13400.24,2011-11-20 11:31:00
12433.0,7,13375.87,2011-12-09 10:02:00
15498.0,27,13316.4,2011-12-07 12:48:00
12477.0,6,13219.74,2011-11-17 09:51:00
17735.0,19,13110.02,2011-12-07 16:47:00
16525.0,26,13027.45,2011-12-07 15:07:00
14258.0,9,12669.98,2011-11-30 15:27:00
13078.0,26,12627.94,2011-12-06 15:36:00
12536.0,3,12601.830000000002,2011-10-27 14:20:00
15640.0,15,12416.11,2011-12-05 14:35:00
16000.0,3,12393.7,2011-12-07 12:17:00
17340.0,11,12353.29,2011-11-10 10:45:00
12682.0,31,12279.82,2011-12-06 10:00:00
13113.0,24,12245.960000000001,2011-12-09 12:49:00
14606.0,93,12076.15,2011-12-08 19:28:00
12557.0,5,11990.960000000001,2011-11-23 16:59:00
12939.0,8,11581.8,2011-10-06 14:33:00
15125.0,15,11528.48,2011-11-14 13:57:00
14194.0,21,11349.52,2011-12-05 10:38:00
12971.0,86,11189.91,2011-12-06 12:20:00
14895.0,20,11138.710000000001,2011-12-02 09:23:00
12409.0,3,11072.67,2011-09-22 10:38:00
17581.0,25,11025.24,2011-12-09 12:21:00
15482.0,12,10879.76,2011-11-24 10:46:00
13319.0,26,10845.550000000001,2011-12-04 13:34:00
17107.0,6,10797.48,2011-11-06 14:14:00
13340.0,7,10736.48,2011-10-25 13:15:00
17139.0,12,10650.77,2011-11-24 10:12:00
16779.0,22,10611.720000000001,2011-12-07 14:54:00
17865.0,20,10526.32,2011-11-09 12:08:00
17706.0,17,10504.49,2011-12-05 13:34:00
15251.0,11,10484.99,2011-11-30 15:02:00
14062.0,12,10464.85,2011-11-30 10:04:00
14769.0,8,10416.98,2011-12-07 10:24:00
15615.0,23,10399.74,2011-11-29 14:42:00
15502.0,12,10384.93,2011-11-24 12:48:00
16180.0,8,10254.18,2011-08-31 16:28:00
16843.0,16,10196.57,2011-10-28 09:06:00
12590.0,2,9864.26,2011-05-12 14:52:00
13199.0,38,9817.12,2011-12-06 12:30:00
13001.0,13,9785.970000000001,2011-12-05 14:51:00
15078.0,32,9743.11,2011-12-02 15:41:00
12709.0,15,9706.52,2011-11-24 15:38:00
13458.0,14,9646.57,2011-12-02 15:29:00
14733.0,12,9585.91,2011-11-23 15:39:00
16523.0,21,9418.470000000001,2011-12-08 09:06:00
12567.0,10,9401.28,2011-11-17 11:02:00
14367.0,16,9227.82,2011-12-01 13:19:00
14667.0,25,9175.04,2011-11-29 11:30:00
18092.0,11,9068.26,2011-12-07 13:14:00
12451.0,5,9035.52,2011-11-29 08:40:00
13969.0,18,9024.17,2011-12-02 15:11:00
13488.0,13,8968.31,2011-11-22 14:41:00
13090.0,14,8910.82,2011-12-01 12:39:00
16033.0,20,8778.82,2011-12-04 12:44:00
17017.0,20,8694.26,2011-12-07 09:32:00
17306.0,19,8631.31,2011-11-29 12:14:00
16656.0,15,8625.8,2011-11-17 14:43:00
17243.0,26,8540.05,2011-12-08 13:26:00
14527.0,55,8507.13,2011-12-07 12:19:00
12683.0,15,8476.57,2011-12-05 16:31:00
18139.0,6,8438.34,2011-11-22 10:44:00
15358.0,22,8347.2,2011-12-05 09:04:00
16558.0,20,8338.49,2011-12-09 10:20:00
14056.0,23,8152.71,2011-12-08 13:36:00
14936.0,8,8137.02,2011-11-06 10:30:00
16672.0,20,8134.9400000000005,2011-12-07 16:29:00
13854.0,25,8109.5199999999995,2011-12-01 09:06:00
14952.0,11,8099.49,2011-10-11 10:33:00
18109.0,26,8004.92,2011-12-08 11:36:00
14796.0,17,7975.49,2011-12-08 15:31:00
12428.0,9,7956.46,2011-11-14 08:22:00
15290.0,18,7943.22,2011-12-05 11:39:00
14849.0,25,7930.54,2011-11-18 10:58:00
12757.0,13,7834.650000000001,2011-11-24 12:30:00
13093.0,8,7832.47,2011-03-09 12:14:00
12435.0,2,7829.89,2011-09-21 09:06:00
13629.0,11,7792.36,2011-11-16 13:21:00
17811.0,39,7761.82,2011-12-05 13:46:00
15044.0,17,7634.7300000000005,2011-11-20 13:20:00
15194.0,15,7616.53,2011-12-06 15:10:00
18172.0,20,7561.68,2011-11-25 11:12:00
13263.0,35,7436.93,2011-12-08 13:59:00
12980.0,9,7374.900000000001,2011-07-05 09:34:00
15465.0,18,7354.62,2011-11-20 10:11:00
17396.0,8,7330.8,2011-10-31 14:12:00
12474.0,18,7324.09,2011-11-22 14:39:00
12583.0,15,7281.38,2011-12-07 08:07:00
13018.0,28,7277.7,2011-11-23 13:28:00
18229.0,20,7276.900000000001,2011-11-28 09:48:00
16729.0,21,7205.33,2011-11-01 14:29:00
16745.0,17,7180.7,2011-09-14 11:58:00
16873.0,6,7123.62,2011-12-05 12:05:00
13324.0,10,7121.95,2011-11-03 16:28:00
16923.0,19,7069.08,2011-11-27 13:00:00
13985.0,15,7060.13,2011-12-05 17:06:00
14961.0,9,7044.68,2011-11-29 09:42:00
12766.0,7,6989.63,2011-12-06 08:46:00
12798.0,3,6977.04,2011-11-29 15:52:00
12989.0,15,6924.110000000001,2011-12-06 15:28:00
13027.0,6,6912.0,2011-08-18 09:39:00
16187.0,15,6911.4400000000005,2011-11-08 09:50:00
16713.0,15,6910.78,2011-11-21 12:36:00
17416.0,7,6893.42,2011-11-10 12:47:00
12705.0,9,6868.29,2011-11-24 13:17:00
12476.0,11,6816.42,2011-11-24 12:40:00
12830.0,6,6814.64,2011-11-02 11:54:00
15601.0,14,6776.56,2011-11-28 15:15:00
16652.0,7,6773.97,2011-10-12 09:38:00
18055.0,10,6761.34,2011-12-02 14:25:00
16532.0,3,6748.8,2011-11-22 11:08:00
15023.0,11,6720.41,2011-12-06 17:23:00
13576.0,18,6717.34,2011-11-29 15:34:00
15249.0,13,6688.46,2011-11-08 11:45:00
16746.0,18,6680.11,2011-12-05 12:33:00
16353.0,23,6675.71,2011-12-06 12:23:00
12626.0,9,6620.48,2011-11-16 16:06:00
16182.0,4,6617.65,2011-09-28 13:23:00
15144.0,17,6580.44,2011-12-01 15:12:00
12472.0,7,6572.11,2011-11-07 14:01:00
17338.0,8,6493.54,2011-11-22 14:23:00
18223.0,14,6484.54,2011-12-05 09:11:00
15694.0,14,6479.4,2011-12-09 09:44:00
13225.0,7,6463.84,2011-12-06 13:29:00
13102.0,24,6424.09,2011-12-08 12:52:00
12431.0,15,6419.95,2011-11-04 11:55:00
16814.0,21,6416.7,2011-11-25 13:27:00
13871.0,13,6403.25,2011-11-17 10:49:00
12359.0,4,6310.03,2011-10-13 12:47:00
13668.0,21,6309.83,2011-12-07 12:11:00
13709.0,13,6307.650000000001,2011-12-06 10:28:00
15005.0,28,6295.37,2011-11-24 12:25:00
16126.0,4,6287.77,2011-11-10 16:03:00
17315.0,38,6281.23,2011-12-08 12:15:00
14057.0,17,6211.66,2011-11-16 10:32:00
12357.0,1,6207.67,2011-11-06 16:07:00
14060.0,19,6140.42,2011-12-05 12:29:00
13418.0,18,6127.43,2011-11-28 10:23:00
15939.0,15,6115.01,2011-09-11 11:30:00
17509.0,8,6083.64,2011-10-13 10:26:00
14735.0,32,6065.69,2011-12-06 12:09:00
13097.0,10,6003.22,2011-11-07 10:43:00
12637.0,8,6002.9,2011-10-03 13:46:00
14101.0,6,5976.79,2011-09-27 12:28:00
15382.0,6,5955.71,2011-11-25 10:58:00
14944.0,12,5900.25,2011-11-10 09:10:00
13209.0,8,5891.61,2011-11-09 13:54:00
13534.0,25,5870.08,2011-12-07 14:52:00
14505.0,8,5859.43,2011-11-22 15:45:00
14415.0,13,5855.57,2011-12-08 14:38:00
13050.0,17,5836.86,2011-11-25 09:18:00
12720.0,25,5781.73,2011-12-07 08:03:00
15218.0,11,5756.89,2011-11-29 11:48:00
17686.0,7,5739.46,2011-12-02 15:39:00
13316.0,4,5732.93,2011-11-02 13:40:00
13178.0,11,5725.47,2011-11-13 16:14:00
16553.0,12,5719.82,2011-06-29 15:42:00
13468.0,37,5704.97,2011-12-08 10:39:00
14110.0,12,5683.15,2011-12-06 12:26:00
17716.0,11,5655.99,2011-11-17 12:00:00
13004.0,18,5655.91,2011-11-28 11:27:00
17049.0,9,5655.03,2011-12-07 10:48:00
18118.0,26,5625.08,2011-11-29 11:32:00
17757.0,30,5593.39,2011-12-08 15:31:00
12839.0,14,5591.42,2011-12-07 12:33:00
12481.0,10,5579.82,2011-11-17 08:29:00
14688.0,21,5579.1,2011-12-02 12:26:00
14049.0,4,5578.72,2011-11-23 12:20:00
16767.0,11,5575.56,2011-11-09 09:42:00
12539.0,4,5568.35,2011-11-17 13:30:00
16161.0,19,5533.67,2011-12-08 12:10:00
18225.0,12,5504.96,2011-12-06 13:27:00
16609.0,7,5493.46,2011-11-24 13:32:00
15805.0,17,5488.18,2011-11-16 16:32:00
16985.0,10,5464.12,2011-11-22 13:33:00
16265.0,9,5447.0,2011-11-30 16:41:00
18198.0,17,5425.56,2011-12-05 14:49:00
12490.0,10,5417.93,2011-12-04 16:07:00
17809.0,12,5411.91,2011-11-23 12:59:00
16701.0,13,5398.3,2011-12-01 11:10:00
17719.0,15,5396.04,2011-11-02 10:36:00
17850.0,34,5391.21,2010-12-02 15:27:00
16303.0,3,5360.63,2011-11-14 10:49:00
13269.0,15,5343.28,2011-12-08 14:53:00
17730.0,13,5298.4800000000005,2011-12-06 15:43:00
15150.0,10,5291.33,2011-11-22 12:52:00
17061.0,11,5232.2300000000005,2011-09-27 11:24:00
18226.0,11,5228.05,2011-10-26 13:36:00
12362.0,10,5226.23,2011-12-06 15:40:00
16258.0,5,5203.51,2011-10-25 13:30:00
13756.0,14,5189.52,2011-12-07 16:44:00
16191.0,13,5180.52,2011-12-07 11:26:00
15727.0,7,5159.06,2011-11-23 12:36:00
13599.0,21,5149.92,2011-12-08 16:10:00
17858.0,12,5140.66,2011-12-04 11:56:00
15903.0,7,5126.76,2011-11-30 08:08:00
13941.0,5,5112.96,2011-11-18 09:43:00
15046.0,15,5090.42,2011-11-30 15:50:00
16700.0,13,5076.55,2011-12-01 11:00:00
13139.0,7,5064.94,2011-11-23 13:54:00
12432.0,5,5059.32,2011-10-28 11:43:00
17602.0,6,5054.42,2011-12-07 13:53:00
15301.0,12,5049.95,2011-10-20 09:57:00
17426.0,6,5037.26,2011-12-01 18:07:00
15719.0,13,5030.07,2011-11-07 12:29:00
14755.0,11,5010.28,2011-11-30 11:24:00
14562.0,18,5006.77,2011-12-06 11:05:00
12444.0,5,5005.46,2011-11-18 13:23:00
14329.0,7,4975.24,2011-11-22 15:50:00
15032.0,3,4959.1,2011-03-28 15:03:00
12437.0,18,4951.41,2011-12-08 11:35:00
12700.0,4,4939.99,2011-12-02 10:47:00
14709.0,13,4921.04,2011-11-24 15:41:00
15786.0,3,4919.0,2011-10-24 14:13:00
15547.0,14,4910.6,2011-12-02 12:52:00
17133.0,7,4892.240000000001,2011-11-24 12:27:00
12664.0,9,4881.88,2011-12-01 17:07:00
12688.0,1,4873.8099999999995,2011-08-18 08:49:00
14292.0,9,4871.93,2011-12-02 11:50:00
17652.0,12,4867.72,2011-11-14 12:55:00
15738.0,16,4812.42,2011-11-21 08:26:00
13013.0,13,4810.9400000000005,2011-12-08 15:01:00
15298.0,12,4799.9,2011-12-07 17:17:00
15555.0,16,4794.86,2011-11-27 16:19:00
15187.0,16,4777.18,2011-12-08 11:56:00
17365.0,8,4767.36,2011-11-27 12:13:00
12955.0,11,4757.16,2011-12-08 16:29:00
14180.0,25,4748.52,2011-11-29 10:56:00
15152.0,13,4745.69,2011-11-30 12:32:00
16722.0,13,4730.81,2011-11-22 13:28:00
17690.0,15,4726.8,2011-11-09 15:17:00
12714.0,5,4708.86,2011-11-30 15:43:00
14135.0,15,4690.31,2011-12-08 11:38:00
14191.0,13,4684.76,2011-12-08 09:23:00
15291.0,15,4668.3,2011-11-14 11:02:00
14189.0,15,4654.08,2011-12-07 15:55:00
14390.0,9,4642.57,2011-11-29 13:49:00
14159.0,11,4630.35,2011-11-20 12:36:00
14286.0,3,4628.75,2011-11-16 10:34:00
13802.0,3,4599.42,2011-07-24 10:54:00
